Lat,Lon,Times_exceeded
52.235,21.036,3.0
52.213,21.018,3.0
52.316,21.099,3.0
52.236,21.086,3.0
52.347,21.029,3.0
52.302,21.043,3.0
52.254,20.91,3.0
52.211,21.087,3.0
52.304,21.048,3.0
52.293,21.016,3.0
52.318,20.965,3.0
52.203,20.938,3.0
52.208,20.892,3.0
52.309,20.883,3.0
52.303,21.044,3.0
52.248,21.018,3.0
52.227,21.056,3.0
52.157,21.31,3.0
52.219,21.025,3.0
52.234,21.031,3.0
52.211,20.951,3.0
52.351,21.029,3.0
52.227,21.145,3.0
52.158,20.924,3.0
52.251,21.016,3.0
52.295,21.017,3.0
52.254,20.898,3.0
52.311,20.979,3.0
52.229,20.972,3.0
52.215,21.026,3.0
52.166,21.026,3.0
52.214,21.006,3.0
52.215,21.123,3.0
52.112,21.111,3.0
52.166,21.02,3.0
52.199,20.874,3.0
52.236,21.041,3.0
52.191,20.907,3.0
52.229,20.965,3.0
52.202,21.05,3.0
52.179,21.01,3.0
52.209,21.108,3.0
52.257,21.175,3.0
52.284,20.987,3.0
52.239,20.907,3.0
52.206,21.112,3.0
52.351,21.128,3.0
52.219,21.095,3.0
52.235,21.034,3.0
52.177,21.044,3.0
52.099,20.818,3.0
52.286,21.048,3.0
52.286,20.954,3.0
52.122,21.018,3.0
52.205,21.065,3.0
52.304,20.936,3.0
52.173,21.044,3.0
52.229,20.977,3.0
52.202,21.062,3.0
52.336,21.029,3.0
52.243,21.223,3.0
52.23,21.022,3.0
52.288,21.006,3.0
52.217,21.011,3.0
52.213,20.955,3.0
52.316,21.009,3.0
52.212,20.989,3.0
52.199,20.918,3.0
52.359,21.029,3.0
52.194,20.941,3.0
52.163,21.108,3.0
52.315,20.972,3.0
52.217,21.015,3.0
52.294,21.016,3.0
52.167,21.081,3.0
52.258,20.993,3.0
52.376,21.149,3.0
52.182,21.002,3.0
52.186,20.979,3.0
52.208,21.134,3.0
52.194,20.939,3.0
52.131,20.968,3.0
52.239,20.948,3.0
52.151,21.058,3.0
52.274,21.143,3.0
52.215,21.094,3.0
52.185,20.901,3.0
52.127,21.018,3.0
52.27,20.962,3.0
52.218,20.983,3.0
52.292,21.006,3.0
52.129,21.018,3.0
52.225,21.189,3.0
52.184,20.952,3.0
52.163,20.986,3.0
52.242,21.069,3.0
52.273,21.143,3.0
52.292,21.009,3.0
52.208,21.053,3.0
52.131,21.085,3.0
52.268,21.06,3.0
52.287,21.026,3.0
52.298,21.013,3.0
52.248,20.911,3.0
52.204,20.908,3.0
52.217,20.994,3.0
52.118,21.104,3.0
52.174,21.015,3.0
52.225,21.181,3.0
52.259,21.001,3.0
52.168,21.223,3.0
52.245,20.958,3.0
52.274,20.937,3.0
52.166,21.022,3.0
52.225,21.195,3.0
52.308,21.085,3.0
52.226,21.165,3.0
52.217,21.008,3.0
52.273,20.835,3.0
52.217,20.962,3.0
52.155,21.018,3.0
52.39,21.032,3.0
52.119,21.018,3.0
52.307,21.065,3.0
52.176,21.008,3.0
52.116,21.019,3.0
52.181,20.949,3.0
52.207,21.111,3.0
52.177,20.87,3.0
52.226,21.152,3.0
52.32,21.023,3.0
52.161,21.116,3.0
52.198,20.905,3.0
52.34,20.956,3.0
52.246,21.137,3.0
52.225,20.935,3.0
52.196,21.176,3.0
52.213,20.972,3.0
52.167,21.016,3.0
52.227,20.996,3.0
52.174,21.079,3.0
52.233,21.126,3.0
52.244,20.897,3.0
52.13,20.986,3.0
52.219,20.974,3.0
52.22,21.09,3.0
52.207,21.164,3.0
52.224,21.202,3.0
52.179,20.947,3.0
52.296,21.015,3.0
52.203,20.915,3.0
52.189,21.061,3.0
52.301,21.038,3.0
52.16,21.018,3.0
52.108,21.113,3.0
52.203,21.115,3.0
52.202,20.915,3.0
52.282,20.982,3.0
52.156,21.017,3.0
52.17,21.009,3.0
52.268,21.035,3.0
52.199,21.038,3.0
52.235,21.009,3.0
52.224,21.205,3.0
52.3,20.904,3.0
52.224,21.162,3.0
