Lat,Lon,Times_exceeded
52.105,20.887,3.0
52.459,21.077,3.0
52.375,21.148,3.0
52.185,20.979,3.0
52.307,20.931,3.0
52.226,21.067,3.0
52.291,21.007,3.0
52.264,20.923,3.0
52.261,21.01,3.0
52.24,20.922,3.0
52.258,21.043,3.0
52.103,21.019,3.0
52.352,20.944,3.0
52.176,20.914,3.0
52.084,20.958,3.0
52.167,21.015,3.0
52.169,21.039,3.0
52.24,21.133,3.0
52.237,20.956,3.0
52.206,20.987,3.0
52.338,20.943,3.0
52.166,21.018,3.0
52.265,21.122,3.0
52.302,21.042,3.0
52.244,20.912,3.0
52.224,21.201,3.0
52.226,21.158,3.0
52.276,21.014,3.0
52.267,20.931,3.0
52.292,21.045,3.0
52.085,20.952,3.0
52.233,21.118,3.0
52.219,21.093,3.0
52.241,21.111,3.0
52.157,21.089,3.0
52.279,21.045,3.0
52.159,21.042,3.0
52.042,20.972,3.0
52.283,21.072,3.0
52.383,21.029,3.0
52.226,21.076,3.0
52.144,21.095,3.0
52.118,21.104,3.0
52.136,21.1,3.0
52.301,20.905,3.0
52.217,21.012,3.0
52.304,21.05,3.0
52.298,20.795,3.0
52.194,21.178,3.0
52.316,20.919,3.0
52.236,21.042,3.0
52.191,20.954,3.0
52.232,21.131,3.0
52.301,21.058,3.0
52.18,20.993,3.0
52.196,20.996,3.0
52.161,21.099,3.0
52.233,21.126,3.0
52.217,21.096,3.0
52.301,21.039,3.0
52.264,21.057,3.0
52.218,21.022,3.0
52.268,20.938,3.0
52.189,21.046,3.0
52.163,21.085,3.0
52.257,21.142,3.0
52.13,21.018,3.0
52.3,20.904,3.0
52.244,21.093,3.0
52.207,21.053,2.0
52.034,21.088,2.0
52.321,21.057,2.0
52.334,20.979,2.0
52.178,21.06,2.0
52.309,20.982,2.0
52.227,21.0,2.0
52.235,21.129,2.0
52.226,21.172,2.0
52.285,20.896,2.0
52.225,21.178,2.0
52.225,21.18,2.0
52.193,20.945,2.0
52.069,20.943,2.0
52.273,20.935,2.0
52.239,21.042,2.0
52.179,21.025,2.0
52.231,20.999,2.0
52.283,21.047,2.0
