         249311383 function calls (247886283 primitive calls) in 146.505 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.061    0.061 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/numpy/lib/__init__.py:1(<module>)
        1    0.000    0.000    0.059    0.059 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/groupby/__init__.py:1(<module>)
   585677    0.058    0.000    0.058    0.000 {built-in method math.degrees}
        1    0.000    0.000    0.058    0.058 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/groupby/generic.py:1(<module>)
      842    0.001    0.000    0.056    0.000 /usr/lib/python3.11/re/__init__.py:272(_compile)
1533/1400    0.001    0.000    0.055    0.000 /usr/lib/python3.11/typing.py:338(inner)
      159    0.000    0.000    0.055    0.000 /usr/lib/python3.11/re/__init__.py:225(compile)
    25596    0.008    0.000    0.055    0.000 {method 'extend' of 'collections.deque' objects}
      150    0.001    0.000    0.054    0.000 /usr/lib/python3.11/re/_compiler.py:738(compile)
        1    0.000    0.000    0.051    0.051 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/requests/__init__.py:1(<module>)
      647    0.001    0.000    0.049    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
        1    0.000    0.000    0.049    0.049 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/frame.py:1(<module>)
    82107    0.031    0.000    0.049    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/visitor.py:28(get_visitor)
        1    0.000    0.000    0.048    0.048 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/numpy/lib/index_tricks.py:1(<module>)
     3949    0.001    0.000    0.048    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/branca/element.py:142(add_to)
